program_id,program_name,university,region,skill_name,coverage_score
P0001,BSc Computer Science,Kyambogo University,Uganda,Solidity,0.74
P0001,BSc Computer Science,Kyambogo University,Uganda,Smart Contracts,0.67
P0001,BSc Computer Science,Kyambogo University,Uganda,Ethereum,0.67
P0001,BSc Computer Science,Kyambogo University,Uganda,Web3.js,0.74
P0001,BSc Computer Science,Kyambogo University,Uganda,Cryptography,0.67
P0001,BSc Computer Science,Kyambogo University,Uganda,Distributed Systems,0.75
P0001,BSc Computer Science,Kyambogo University,Uganda,Consensus Algorithms,0.63
P0001,BSc Computer Science,Kyambogo University,Uganda,Token Standards,0.49
P0001,BSc Computer Science,Kyambogo University,Uganda,DeFi Concepts,0.64
P0001,BSc Computer Science,Kyambogo University,Uganda,Security Auditing,0.76
P0001,BSc Computer Science,Kyambogo University,Uganda,Gas Optimization,0.51
P0001,BSc Computer Science,Kyambogo University,Uganda,Smart Contract Testing,0.53
P0001,BSc Computer Science,Kyambogo University,Uganda,IPFS,0.49
P0001,BSc Computer Science,Kyambogo University,Uganda,Blockchain Architecture,0.52
P0001,BSc Computer Science,Kyambogo University,Uganda,Backend Integration,0.73
P0001,BSc Computer Science,Kyambogo University,Uganda,Tokenomics,0.79
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,HTML,0.65
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,CSS,0.59
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,JavaScript,0.72
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,React,0.74
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Node.js,0.76
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Express.js,0.47
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,REST APIs,0.81
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Database Design,0.67
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,SQL,0.74
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Authentication,0.79
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Version Control,0.51
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Git,0.49
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Testing,0.65
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Deployment,0.72
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Cloud Services,0.63
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Security Best Practices,0.71
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,UI Design Principles,0.47
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Debugging,0.53
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Responsive Design,0.62
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Problem Solving,0.53
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Python,0.82
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Machine Learning,0.54
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Deep Learning,0.68
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Neural Networks,0.5
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Natural Language Processing,0.49
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Computer Vision,0.61
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Model Deployment,0.77
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Cloud ML Services,0.59
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,TensorFlow,0.48
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,PyTorch,0.72
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Data Engineering,0.52
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Model Evaluation,0.8
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Feature Engineering,0.49
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Optimization Techniques,0.53
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Linear Algebra,0.81
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Probability Theory,0.53
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Big Data Tools,0.77
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,APIs,0.59
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Research Skills,0.77
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Solidity,0.63
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Smart Contracts,0.77
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Ethereum,0.76
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Web3.js,0.69
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Cryptography,0.8
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Distributed Systems,0.66
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Consensus Algorithms,0.79
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Token Standards,0.81
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,DeFi Concepts,0.48
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Security Auditing,0.58
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Gas Optimization,0.66
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Smart Contract Testing,0.72
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,IPFS,0.56
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Blockchain Architecture,0.78
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Backend Integration,0.63
P0002,BSc Computer Science,Muhimbili University of Health and Allied Sciences,Tanzania,Tokenomics,0.55
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,HTML,0.78
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,CSS,0.82
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,JavaScript,0.83
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,React,0.68
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Node.js,0.77
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Express.js,0.78
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,REST APIs,0.84
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Database Design,0.73
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,SQL,0.67
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Authentication,0.68
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Version Control,0.88
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Git,0.75
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Testing,0.75
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Deployment,0.76
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Cloud Services,0.65
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Security Best Practices,0.73
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,UI Design Principles,0.72
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Debugging,0.84
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Responsive Design,0.7
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Problem Solving,0.72
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Python,0.89
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Machine Learning,0.75
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Deep Learning,0.8
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Neural Networks,0.73
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Natural Language Processing,0.77
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Computer Vision,0.81
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Model Deployment,0.69
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Cloud ML Services,0.73
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,TensorFlow,0.89
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,PyTorch,0.75
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Data Engineering,0.81
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Model Evaluation,0.77
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Feature Engineering,0.73
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Optimization Techniques,0.71
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Linear Algebra,0.68
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Probability Theory,0.83
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Big Data Tools,0.85
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,APIs,0.83
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Research Skills,0.85
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Solidity,0.7
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Smart Contracts,0.85
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Ethereum,0.84
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Web3.js,0.75
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Cryptography,0.78
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Distributed Systems,0.87
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Consensus Algorithms,0.88
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Token Standards,0.77
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,DeFi Concepts,0.84
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Security Auditing,0.77
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Gas Optimization,0.83
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Smart Contract Testing,0.84
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,IPFS,0.67
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Blockchain Architecture,0.8
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Backend Integration,0.67
P0003,BSc Computer Science,Carnegie Mellon University Rwanda,Rwanda,Tokenomics,0.76
P0004,BSc Computer Science,University of Kigali,Rwanda,HTML,0.71
P0004,BSc Computer Science,University of Kigali,Rwanda,CSS,0.56
P0004,BSc Computer Science,University of Kigali,Rwanda,JavaScript,0.53
P0004,BSc Computer Science,University of Kigali,Rwanda,React,0.59
P0004,BSc Computer Science,University of Kigali,Rwanda,Node.js,0.51
P0004,BSc Computer Science,University of Kigali,Rwanda,Express.js,0.57
P0004,BSc Computer Science,University of Kigali,Rwanda,REST APIs,0.48
P0004,BSc Computer Science,University of Kigali,Rwanda,Database Design,0.49
P0004,BSc Computer Science,University of Kigali,Rwanda,SQL,0.74
P0004,BSc Computer Science,University of Kigali,Rwanda,Authentication,0.55
P0004,BSc Computer Science,University of Kigali,Rwanda,Version Control,0.8
P0004,BSc Computer Science,University of Kigali,Rwanda,Git,0.75
P0004,BSc Computer Science,University of Kigali,Rwanda,Testing,0.54
P0004,BSc Computer Science,University of Kigali,Rwanda,Deployment,0.61
P0004,BSc Computer Science,University of Kigali,Rwanda,Cloud Services,0.58
P0004,BSc Computer Science,University of Kigali,Rwanda,Security Best Practices,0.51
P0004,BSc Computer Science,University of Kigali,Rwanda,UI Design Principles,0.58
P0004,BSc Computer Science,University of Kigali,Rwanda,Debugging,0.74
P0004,BSc Computer Science,University of Kigali,Rwanda,Responsive Design,0.56
P0004,BSc Computer Science,University of Kigali,Rwanda,Problem Solving,0.52
P0004,BSc Computer Science,University of Kigali,Rwanda,Python,0.7
P0004,BSc Computer Science,University of Kigali,Rwanda,Machine Learning,0.64
P0004,BSc Computer Science,University of Kigali,Rwanda,Deep Learning,0.76
P0004,BSc Computer Science,University of Kigali,Rwanda,Neural Networks,0.78
P0004,BSc Computer Science,University of Kigali,Rwanda,Natural Language Processing,0.79
P0004,BSc Computer Science,University of Kigali,Rwanda,Computer Vision,0.51
P0004,BSc Computer Science,University of Kigali,Rwanda,Model Deployment,0.75
P0004,BSc Computer Science,University of Kigali,Rwanda,Cloud ML Services,0.57
P0004,BSc Computer Science,University of Kigali,Rwanda,TensorFlow,0.49
P0004,BSc Computer Science,University of Kigali,Rwanda,PyTorch,0.49
P0004,BSc Computer Science,University of Kigali,Rwanda,Data Engineering,0.75
P0004,BSc Computer Science,University of Kigali,Rwanda,Model Evaluation,0.79
P0004,BSc Computer Science,University of Kigali,Rwanda,Feature Engineering,0.67
P0004,BSc Computer Science,University of Kigali,Rwanda,Optimization Techniques,0.56
P0004,BSc Computer Science,University of Kigali,Rwanda,Linear Algebra,0.68
P0004,BSc Computer Science,University of Kigali,Rwanda,Probability Theory,0.65
P0004,BSc Computer Science,University of Kigali,Rwanda,Big Data Tools,0.64
P0004,BSc Computer Science,University of Kigali,Rwanda,APIs,0.68
P0004,BSc Computer Science,University of Kigali,Rwanda,Research Skills,0.59
P0004,BSc Computer Science,University of Kigali,Rwanda,Solidity,0.58
P0004,BSc Computer Science,University of Kigali,Rwanda,Smart Contracts,0.66
P0004,BSc Computer Science,University of Kigali,Rwanda,Ethereum,0.7
P0004,BSc Computer Science,University of Kigali,Rwanda,Web3.js,0.51
P0004,BSc Computer Science,University of Kigali,Rwanda,Cryptography,0.64
P0004,BSc Computer Science,University of Kigali,Rwanda,Distributed Systems,0.78
P0004,BSc Computer Science,University of Kigali,Rwanda,Consensus Algorithms,0.74
P0004,BSc Computer Science,University of Kigali,Rwanda,Token Standards,0.52
P0004,BSc Computer Science,University of Kigali,Rwanda,DeFi Concepts,0.71
P0004,BSc Computer Science,University of Kigali,Rwanda,Security Auditing,0.78
P0004,BSc Computer Science,University of Kigali,Rwanda,Gas Optimization,0.79
P0004,BSc Computer Science,University of Kigali,Rwanda,Smart Contract Testing,0.67
P0004,BSc Computer Science,University of Kigali,Rwanda,IPFS,0.8
P0004,BSc Computer Science,University of Kigali,Rwanda,Blockchain Architecture,0.72
P0004,BSc Computer Science,University of Kigali,Rwanda,Backend Integration,0.73
P0004,BSc Computer Science,University of Kigali,Rwanda,Tokenomics,0.79
P0005,BSc Information Technology,University of Kigali,Rwanda,CI/CD Pipelines,0.8
P0005,BSc Information Technology,University of Kigali,Rwanda,Docker,0.8
P0005,BSc Information Technology,University of Kigali,Rwanda,Kubernetes,0.55
P0005,BSc Information Technology,University of Kigali,Rwanda,Cloud Computing,0.77
P0005,BSc Information Technology,University of Kigali,Rwanda,AWS,0.68
P0005,BSc Information Technology,University of Kigali,Rwanda,Azure,0.64
P0005,BSc Information Technology,University of Kigali,Rwanda,Infrastructure as Code,0.51
P0005,BSc Information Technology,University of Kigali,Rwanda,Troubleshooting,0.66
P0005,BSc Information Technology,University of Kigali,Rwanda,Monitoring Tools,0.54
P0005,BSc Information Technology,University of Kigali,Rwanda,Linux Administration,0.71
P0005,BSc Information Technology,University of Kigali,Rwanda,Networking,0.51
P0005,BSc Information Technology,University of Kigali,Rwanda,Scripting,0.52
P0005,BSc Information Technology,University of Kigali,Rwanda,Version Control,0.75
P0005,BSc Information Technology,University of Kigali,Rwanda,Automation,0.64
P0005,BSc Information Technology,University of Kigali,Rwanda,Security Practices,0.79
P0005,BSc Information Technology,University of Kigali,Rwanda,Logging Systems,0.67
P0005,BSc Information Technology,University of Kigali,Rwanda,Container Orchestration,0.73
P0005,BSc Information Technology,University of Kigali,Rwanda,DevSecOps,0.73
P0005,BSc Information Technology,University of Kigali,Rwanda,Performance Optimization,0.72
P0005,BSc Information Technology,University of Kigali,Rwanda,Problem Solving,0.59
P0005,BSc Information Technology,University of Kigali,Rwanda,Network Security,0.64
P0005,BSc Information Technology,University of Kigali,Rwanda,Penetration Testing,0.5
P0005,BSc Information Technology,University of Kigali,Rwanda,Cryptography,0.63
P0005,BSc Information Technology,University of Kigali,Rwanda,Ethical Hacking,0.5
P0005,BSc Information Technology,University of Kigali,Rwanda,Firewalls,0.74
P0005,BSc Information Technology,University of Kigali,Rwanda,Intrusion Detection,0.55
P0005,BSc Information Technology,University of Kigali,Rwanda,Risk Assessment,0.55
P0005,BSc Information Technology,University of Kigali,Rwanda,Security Auditing,0.63
P0005,BSc Information Technology,University of Kigali,Rwanda,Incident Response,0.6
P0005,BSc Information Technology,University of Kigali,Rwanda,Operating Systems,0.7
P0005,BSc Information Technology,University of Kigali,Rwanda,Security Policies,0.48
P0005,BSc Information Technology,University of Kigali,Rwanda,Cloud Security,0.67
P0005,BSc Information Technology,University of Kigali,Rwanda,Vulnerability Assessment,0.76
P0005,BSc Information Technology,University of Kigali,Rwanda,Malware Analysis,0.72
P0005,BSc Information Technology,University of Kigali,Rwanda,Compliance Standards,0.63
P0005,BSc Information Technology,University of Kigali,Rwanda,Encryption Techniques,0.48
P0005,BSc Information Technology,University of Kigali,Rwanda,Threat Modeling,0.8
P0005,BSc Information Technology,University of Kigali,Rwanda,SIEM Tools,0.52
P0005,BSc Information Technology,University of Kigali,Rwanda,Python,0.53
P0005,BSc Information Technology,University of Kigali,Rwanda,SQL,0.5
P0005,BSc Information Technology,University of Kigali,Rwanda,Statistics,0.66
P0005,BSc Information Technology,University of Kigali,Rwanda,Data Cleaning,0.68
P0005,BSc Information Technology,University of Kigali,Rwanda,Exploratory Data Analysis,0.56
P0005,BSc Information Technology,University of Kigali,Rwanda,Data Visualization,0.71
P0005,BSc Information Technology,University of Kigali,Rwanda,Excel,0.63
P0005,BSc Information Technology,University of Kigali,Rwanda,Power BI,0.6
P0005,BSc Information Technology,University of Kigali,Rwanda,Tableau,0.76
P0005,BSc Information Technology,University of Kigali,Rwanda,Data Wrangling,0.77
P0005,BSc Information Technology,University of Kigali,Rwanda,Database Design,0.73
P0005,BSc Information Technology,University of Kigali,Rwanda,Data Interpretation,0.7
P0005,BSc Information Technology,University of Kigali,Rwanda,Communication,0.63
P0005,BSc Information Technology,University of Kigali,Rwanda,Reporting,0.49
P0005,BSc Information Technology,University of Kigali,Rwanda,Descriptive Statistics,0.75
P0005,BSc Information Technology,University of Kigali,Rwanda,Business Understanding,0.49
P0005,BSc Information Technology,University of Kigali,Rwanda,Data Ethics,0.74
P0005,BSc Information Technology,University of Kigali,Rwanda,Data Querying,0.6
P0005,BSc Information Technology,University of Kigali,Rwanda,Dashboard Design,0.63
P0006,BSc Information Technology,Ardhi University,Tanzania,CI/CD Pipelines,0.5
P0006,BSc Information Technology,Ardhi University,Tanzania,Docker,0.63
P0006,BSc Information Technology,Ardhi University,Tanzania,Kubernetes,0.53
P0006,BSc Information Technology,Ardhi University,Tanzania,Cloud Computing,0.62
P0006,BSc Information Technology,Ardhi University,Tanzania,AWS,0.65
P0006,BSc Information Technology,Ardhi University,Tanzania,Azure,0.66
P0006,BSc Information Technology,Ardhi University,Tanzania,Infrastructure as Code,0.68
P0006,BSc Information Technology,Ardhi University,Tanzania,Troubleshooting,0.76
P0006,BSc Information Technology,Ardhi University,Tanzania,Monitoring Tools,0.68
P0006,BSc Information Technology,Ardhi University,Tanzania,Linux Administration,0.74
P0006,BSc Information Technology,Ardhi University,Tanzania,Networking,0.56
P0006,BSc Information Technology,Ardhi University,Tanzania,Scripting,0.66
P0006,BSc Information Technology,Ardhi University,Tanzania,Version Control,0.48
P0006,BSc Information Technology,Ardhi University,Tanzania,Automation,0.78
P0006,BSc Information Technology,Ardhi University,Tanzania,Security Practices,0.5
P0006,BSc Information Technology,Ardhi University,Tanzania,Logging Systems,0.6
P0006,BSc Information Technology,Ardhi University,Tanzania,Container Orchestration,0.79
P0006,BSc Information Technology,Ardhi University,Tanzania,DevSecOps,0.69
P0006,BSc Information Technology,Ardhi University,Tanzania,Performance Optimization,0.81
P0006,BSc Information Technology,Ardhi University,Tanzania,Problem Solving,0.71
P0006,BSc Information Technology,Ardhi University,Tanzania,Network Security,0.82
P0006,BSc Information Technology,Ardhi University,Tanzania,Penetration Testing,0.7
P0006,BSc Information Technology,Ardhi University,Tanzania,Cryptography,0.78
P0006,BSc Information Technology,Ardhi University,Tanzania,Ethical Hacking,0.58
P0006,BSc Information Technology,Ardhi University,Tanzania,Firewalls,0.8
P0006,BSc Information Technology,Ardhi University,Tanzania,Intrusion Detection,0.6
P0006,BSc Information Technology,Ardhi University,Tanzania,Risk Assessment,0.55
P0006,BSc Information Technology,Ardhi University,Tanzania,Security Auditing,0.65
P0006,BSc Information Technology,Ardhi University,Tanzania,Incident Response,0.68
P0006,BSc Information Technology,Ardhi University,Tanzania,Operating Systems,0.79
P0006,BSc Information Technology,Ardhi University,Tanzania,Security Policies,0.76
P0006,BSc Information Technology,Ardhi University,Tanzania,Cloud Security,0.64
P0006,BSc Information Technology,Ardhi University,Tanzania,Vulnerability Assessment,0.77
P0006,BSc Information Technology,Ardhi University,Tanzania,Malware Analysis,0.76
P0006,BSc Information Technology,Ardhi University,Tanzania,Compliance Standards,0.65
P0006,BSc Information Technology,Ardhi University,Tanzania,Encryption Techniques,0.79
P0006,BSc Information Technology,Ardhi University,Tanzania,Threat Modeling,0.63
P0006,BSc Information Technology,Ardhi University,Tanzania,SIEM Tools,0.59
P0006,BSc Information Technology,Ardhi University,Tanzania,Python,0.57
P0006,BSc Information Technology,Ardhi University,Tanzania,SQL,0.74
P0006,BSc Information Technology,Ardhi University,Tanzania,Statistics,0.7
P0006,BSc Information Technology,Ardhi University,Tanzania,Data Cleaning,0.8
P0006,BSc Information Technology,Ardhi University,Tanzania,Exploratory Data Analysis,0.79
P0006,BSc Information Technology,Ardhi University,Tanzania,Data Visualization,0.58
P0006,BSc Information Technology,Ardhi University,Tanzania,Excel,0.57
P0006,BSc Information Technology,Ardhi University,Tanzania,Power BI,0.5
P0006,BSc Information Technology,Ardhi University,Tanzania,Tableau,0.56
P0006,BSc Information Technology,Ardhi University,Tanzania,Data Wrangling,0.78
P0006,BSc Information Technology,Ardhi University,Tanzania,Database Design,0.75
P0006,BSc Information Technology,Ardhi University,Tanzania,Data Interpretation,0.64
P0006,BSc Information Technology,Ardhi University,Tanzania,Communication,0.53
P0006,BSc Information Technology,Ardhi University,Tanzania,Reporting,0.54
P0006,BSc Information Technology,Ardhi University,Tanzania,Descriptive Statistics,0.49
P0006,BSc Information Technology,Ardhi University,Tanzania,Business Understanding,0.56
P0006,BSc Information Technology,Ardhi University,Tanzania,Data Ethics,0.72
P0006,BSc Information Technology,Ardhi University,Tanzania,Data Querying,0.55
P0006,BSc Information Technology,Ardhi University,Tanzania,Dashboard Design,0.73
P0007,BSc Information Technology,United States International University Africa,Kenya,CI/CD Pipelines,0.58
P0007,BSc Information Technology,United States International University Africa,Kenya,Docker,0.57
P0007,BSc Information Technology,United States International University Africa,Kenya,Kubernetes,0.56
P0007,BSc Information Technology,United States International University Africa,Kenya,Cloud Computing,0.77
P0007,BSc Information Technology,United States International University Africa,Kenya,AWS,0.7
P0007,BSc Information Technology,United States International University Africa,Kenya,Azure,0.67
P0007,BSc Information Technology,United States International University Africa,Kenya,Infrastructure as Code,0.67
P0007,BSc Information Technology,United States International University Africa,Kenya,Troubleshooting,0.72
P0007,BSc Information Technology,United States International University Africa,Kenya,Monitoring Tools,0.79
P0007,BSc Information Technology,United States International University Africa,Kenya,Linux Administration,0.59
P0007,BSc Information Technology,United States International University Africa,Kenya,Networking,0.56
P0007,BSc Information Technology,United States International University Africa,Kenya,Scripting,0.76
P0007,BSc Information Technology,United States International University Africa,Kenya,Version Control,0.48
P0007,BSc Information Technology,United States International University Africa,Kenya,Automation,0.67
P0007,BSc Information Technology,United States International University Africa,Kenya,Security Practices,0.59
